source,target,weight
Derakalan,Private Citizens & Property,1
Deri,Private Citizens & Property,1
Deriwal,Private Citizens & Property,1
Devanchara,Private Citizens & Property,1
Dhaini Basa Singh Village,Private Citizens & Property,1
Dhaligaon,Transportation,1
Dhaliwal,Private Citizens & Property,1
Dharamgarh,Private Citizens & Property,1
Dhariwal,Religious Figures/Institutions,1
Dhariwal Kalan,Private Citizens & Property,1
Dhariwal-northern Punjob,Government (General),1
Dhaurewal,Private Citizens & Property,1
Dhilwan Village,Government (General),1
Dhreli,Police,1
Dhulewal,Religious Figures/Institutions,1
Dhuri Town,Police,1
"Dimapur, Nagaland",Government (General),1
Dinanagar,Transportation,1
Dubricheda Village,Private Citizens & Property,1
Durgapur,Police,1
Dusibandh,Police,1
en route from Chandigarh to Srinagar,Airports & Aircraft,1
en route from Srinagar to Delhi,Airports & Aircraft,1
Esuwagaon,Police,1
Fakirgram,Government (General),1
Faridkat,Transportation,1
Faridkot District,Business,1
Faridkot District,Police,1
Faridkot District,Private Citizens & Property,1
Faridkot District,Religious Figures/Institutions,1
Fariokot,Police,1
Fatehgarh Churian,Government (General),1
Fatehgarh Churian,Military,1
Fatehpur,Police,1
Ferozepore,Business,1
Ferozepore,Government (General),1
Ferozepore,Police,1
Ferozepore area,Police,1
Ferozepore District,Military,1
Ferozepore District,Police,2
Ferozepore District,Private Citizens & Property,1
Ferozepore District,Violent Political Party,1
Ferozepur Dist.,Private Citizens & Property,1
Ferozepur District,Military,1
Ferozepur District,Police,1
Firozapur village,Private Citizens & Property,1
Firozpur,Police,1
Gaginangal,Business,1
Gangarampur,Transportation,1
Gariala,Government (General),1
Gauhati,Government (General),1
Gauhati,Maritime,1
Gauhati,Police,2
Gauhati,Private Citizens & Property,5
Gauhati,Transportation,1
Gauhati (Assam),Government (General),1
Gavharti,Utilities,1
Ghadiara,Private Citizens & Property,1
Ghagharvana,Private Citizens & Property,1
Ghariala,Government (General),1
Ghawanda devi,Private Citizens & Property,1
Gilbari,Government (General),1
Gokkuwal,Police,1
Gokulpar,Private Citizens & Property,1
Golgoddam Village,Police,1
Gorkajuli,Private Citizens & Property,1
gosaigon subdivision,Private Citizens & Property,1
Gossaigoan,Police,1
Gothrai,Business,1
Guardaspur Dist,Private Citizens & Property,1
Gugapir,Private Citizens & Property,1
Gujarpur,Police,1
Gujarpur Dist.,Private Citizens & Property,1
Guman,Business,1
Gumang Kalaveli (Punjab),Business,1
Guragaon,Police,1
Gurdapur district,Business,1
Gurdasdur,Private Citizens & Property,1
Gurdaspeer District,Private Citizens & Property,1
Gurdaspur,Business,2
Gurdaspur,Private Citizens & Property,2
Gurdaspur City,Private Citizens & Property,1
Gurdaspur District,Business,2
Gurdaspur District,Government (General),1
Gurdaspur District,Military,1
Gurdaspur District,Police,3
Gurdaspur District,Private Citizens & Property,2
Gurdspur,Government (General),1
Gurjarpura,Transportation,1
guwahati,Business,1
Haltabadla,Business,1
Hargobindpur,Police,1
Hargobindpur,Private Citizens & Property,1
Harike,Police,1
Haryana,Police,2
Haryana,Transportation,1
Haryana state,Business,1
Hashiapur District,Police,1
Hira,Private Citizens & Property,1
Hisar,Transportation,1
Hoshiapur,Government (General),1
Hoshiapur,Journalists & Media,1
Hoshiapur District,Police,1
Hoshiardpur district,Government (General),1
Hoshiarpur,Government (General),1
Hoshiarpur,Religious Figures/Institutions,1
Hoshiarpur District,Police,2
Imphal,Government (General),1
Imphal,Police,1
Imphal,Private Citizens & Property,1
Imphal (Manipur State),Military,1
Indira Colony,Business,2
Ishan Para,Police,1
Jabal,Business,1
Jabalpur,Military,1
Jagdeo Kalan,Private Citizens & Property,1
Jagraon,Private Citizens & Property,1
Jagtial,Private Citizens & Property,1
Jahan Khelan,Police,1
