source,target,weight
Patti Town,Bombing/Explosion,1
Pehwa,Armed Assault,1
Penda,Assassination,1
Phagawara,Bombing/Explosion,1
Phaguri,Facility/Infrastructure Attack,1
Phagwara,Assassination,1
Phagwara,Bombing/Explosion,1
Phagwara Town,Assassination,1
Pheowal village,Armed Assault,1
Phera Ren,Armed Assault,1
Pujiawali,Assassination,1
Pulagahawella,Assassination,2
Pundol,Assassination,1
Punjab,Armed Assault,23
Punjab,Assassination,36
Punjab,Bombing/Explosion,49
Punjab,Facility/Infrastructure Attack,3
Punjab,Hostage Taking (Kidnapping),2
Punjab (at Quadian),Armed Assault,1
Punjab (Gulami village),Assassination,1
Punjab (Harshowl Village),Assassination,1
Punjab (Jogiana),Assassination,1
Punjab (Muktsar),Assassination,1
"Punjab (near Batala, 25 miles from Amritsar)",Hijacking,1
Punjab (Village of Chola Sahels),Armed Assault,1
Punjab (Zerozepur dist),Assassination,1
Punjab Hoshiarpur,Assassination,1
Punjab State,Armed Assault,7
Punjab State,Assassination,13
Punjab state,Bombing/Explosion,1
Punjab State,Hijacking,1
Punjab's Zeroepur district,Assassination,1
Punniyaya,Assassination,1
Rahon,Assassination,1
Raibari,Armed Assault,1
Raipur Rian,Assassination,1
Rajpura Town,Bombing/Explosion,1
Rajumajra,Assassination,1
Rama,Assassination,1
Rama Mandi,Assassination,1
Ramaduggu,Hostage Taking (Kidnapping),1
Ramgarh,Assassination,1
Rampur Village,Assassination,1
Rampurapull,Assassination,1
Rani kere village,Assassination,1
Rania,Assassination,1
Rasalpura,Assassination,1
Rasoolpur,Assassination,1
Rasulpar,Bombing/Explosion,1
Rasulpur,Assassination,2
Ratanhira,Armed Assault,1
Ratoka Village,Assassination,1
Rijatipet,Armed Assault,1
Rohini Valley,Armed Assault,1
Rooerwal,Bombing/Explosion,1
Ropar,Assassination,1
Ropar,Facility/Infrastructure Attack,1
Ropar,Hostage Taking (Kidnapping),1
Ropar District,Assassination,2
Rork,Assassination,1
runikhata,Bombing/Explosion,1
Runikheta,Armed Assault,1
Rureasal,Armed Assault,1
Rurthakalam,Armed Assault,1
Rutian,Assassination,1
Saint Mery Basti,Armed Assault,1
Sakira Village,Assassination,1
Sakoha,Armed Assault,1
Salakati,Assassination,1
Samrawan,Armed Assault,1
Sangrala,Assassination,1
Sangrur District,Assassination,3
Sansara,Assassination,1
Santu Nangal,Assassination,1
Sarai Amanatkhan,Bombing/Explosion,1
Saral Amanat Khan,Armed Assault,1
Sarhali Khord,Assassination,1
Sarowal,Armed Assault,1
Sarzulgarh,Armed Assault,1
Satnala Village,Armed Assault,1
Satnala Village,Facility/Infrastructure Attack,2
Satrah Kalan,Armed Assault,1
Seapani,Assassination,1
Seapani,Hostage Taking (Kidnapping),1
Shankerdura,Bombing/Explosion,1
Shantipara,Armed Assault,1
Sharinwala,Armed Assault,1
Shekhawal,Assassination,1
Sherpur,Assassination,1
Shinshin,Armed Assault,1
Sidhuwadona,Armed Assault,1
sinagar,Bombing/Explosion,1
Singamadi,Facility/Infrastructure Attack,1
