source,target,weight
Dhekiagula,Bombing/Explosion,1
Dhekiajuli,Bombing/Explosion,1
Dhemaji,Armed Assault,1
Dhemaji,Bombing/Explosion,1
Dhemaji,Hostage Taking (Kidnapping),1
Dhoob,Armed Assault,1
Dhubri,Armed Assault,2
Dhubri,Bombing/Explosion,3
Dhubri,Hostage Taking (Kidnapping),1
Dhurai Sambrai,Armed Assault,1
Dibrugarh,Assassination,1
Dibrugarh,Bombing/Explosion,2
Digboi,Bombing/Explosion,2
Digdol,Bombing/Explosion,1
Diklam,Armed Assault,1
Dillai,Armed Assault,1
Dimapur,Armed Assault,12
Dimapur,Bombing/Explosion,1
Dimapur,Facility/Infrastructure Attack,1
Dimapur,Hostage Taking (Kidnapping),8
Dimapur,Unknown,1
Dindigul,Armed Assault,1
Diphu,Armed Assault,2
Diphu,Bombing/Explosion,3
Dispur,Bombing/Explosion,1
Doda,Armed Assault,9
Doda,Assassination,3
Doda,Bombing/Explosion,14
Doda,Hostage Taking (Kidnapping),1
Doda (District),Hostage Taking (Kidnapping),2
Doda District,Assassination,1
Doda District,Bombing/Explosion,2
Doda District,Hostage Taking (Kidnapping),1
Dodasanpai,Armed Assault,1
Dodi,Assassination,1
Dohni,Hostage Taking (Kidnapping),1
Dokmoka,Bombing/Explosion,1
Doldoli,Armed Assault,1
Doodooma,Bombing/Explosion,1
Doomdooma,Bombing/Explosion,1
Doru,Bombing/Explosion,1
Drahteng-Prang,Armed Assault,1
Dudansaballa,Armed Assault,1
Duderhama,Assassination,1
Duliajan,Bombing/Explosion,1
Dumariyan,Armed Assault,1
Dumka,Armed Assault,1
Durg,Bombing/Explosion,1
Durga Puja,Bombing/Explosion,1
Durmunah,Armed Assault,1
East Champaran,Bombing/Explosion,3
East Godavari,Bombing/Explosion,1
East Godavari,Hostage Taking (Kidnapping),1
East singhbhum,Armed Assault,2
East singhbhum,Bombing/Explosion,3
Ernakulam,Bombing/Explosion,1
Erode,Facility/Infrastructure Attack,1
Errabore,Armed Assault,1
Eturunagaram,Armed Assault,1
Faizabad,Bombing/Explosion,1
Fazlabad,Bombing/Explosion,1
Fimnacherra,Armed Assault,1
Frisal,Armed Assault,1
Frisal Kulgam,Assassination,2
Frislan,Bombing/Explosion,1
Frislan-Pahalgam,Armed Assault,1
Fukkumari,Armed Assault,1
Gadchiroli,Armed Assault,12
Gadchiroli,Unknown,3
Gagarsulla,Bombing/Explosion,1
Gaibas,Armed Assault,1
Gaichta-Dudsunbala,Armed Assault,1
Gainad,Armed Assault,1
Gajanur,Hostage Taking (Kidnapping),1
Gajapati,Bombing/Explosion,2
Gajapati,Facility/Infrastructure Attack,1
Gambirpur,Assassination,1
Gandarbal,Unknown,1
Gandhinagar,Bombing/Explosion,1
Gandoh,Armed Assault,1
Gandoh,Hostage Taking (Kidnapping),1
Gangalur,Armed Assault,1
Gargaon,Assassination,1
Garoora,Armed Assault,1
Garwah,Armed Assault,2
Garwah,Bombing/Explosion,3
Garwah,Hostage Taking (Kidnapping),1
Gathalpadar,Bombing/Explosion,1
Gauripar,Bombing/Explosion,1
Gauripur,Bombing/Explosion,2
Gaurisagar,Bombing/Explosion,1
Gawahati,Bombing/Explosion,1
Gaya,Armed Assault,4
Gaya,Bombing/Explosion,18
Gaya,Facility/Infrastructure Attack,6
Gaya,Hostage Taking (Kidnapping),2
Gaya,Unknown,1
Gelapukhuri,Armed Assault,1
Ghanpur,Bombing/Explosion,1
Ghat,Armed Assault,1
Ghatkesar,Assassination,1
Ghaziabad,Assassination,1
Ghaziabad,Bombing/Explosion,1
Ghodagaon,Bombing/Explosion,1
Giridih,Armed Assault,3
Giridih,Bombing/Explosion,8
Giridih,Facility/Infrastructure Attack,1
Goalpara,Armed Assault,3
Goalpara,Bombing/Explosion,2
Godda,Bombing/Explosion,1
Gokulnagar,Assassination,1
Gokulnagar,Facility/Infrastructure Attack,1
Gokulnagar,Unknown,1
Gomanda,Bombing/Explosion,1
Goon Dhar,Hostage Taking (Kidnapping),1
Gopalganj,Bombing/Explosion,1
Gorakhpur,Bombing/Explosion,1
Gori,Assassination,1
Goriwan,Bombing/Explosion,1
Gossaigaon,Bombing/Explosion,2
Gounthal,Armed Assault,1
Govindpur,Bombing/Explosion,1
Grat Mode,Bombing/Explosion,1
Gul,Armed Assault,1
Gulmarg,Bombing/Explosion,1
Gumia,Bombing/Explosion,1
Gumla,Armed Assault,6
Gumla,Facility/Infrastructure Attack,1
Gumla,Hostage Taking (Kidnapping),1
Guntur,Armed Assault,1
Guntur,Bombing/Explosion,1
Gurdan,Armed Assault,1
Guwahati,Armed Assault,5
Guwahati,Assassination,1
Guwahati,Bombing/Explosion,43
