East singhbhum,22.486676,86.499655,Armed Assault,Government
Midnapore,22.430889,87.321491,Kidnapping,Violent Political Party
Phulwama,33.981889,75.014382,Bombing,Transportation
Jajpur,20.834102,86.332606,Infrastructure Attack,Telecommunication
Palamau,21.958024,78.886385,Bombing,Educational Institution
Midnapore,22.430889,87.321491,Armed Assault,Violent Political Party
Latehar,23.746322,84.50911,Bombing,Private Citizens & Property
Koraput,18.813487,82.712333,Bombing,Police
Dantewada,18.896863,81.345442,Armed Assault,Police
Darbhanga,26.111868,85.896004,Kidnapping,Government
Imphal,24.817011,93.936844,Bombing,Government
Midnapore,22.430889,87.321491,Kidnapping,Government
Imphal,24.817011,93.936844,Bombing,Government
Koraput,18.813487,82.712333,Bombing,Transportation
Kaimur,24.908055,83.532339,Bombing,Educational Institution
Kaimur,24.908055,83.532339,Bombing,Private Citizens & Property
Kaimur,24.908055,83.532339,Bombing,Private Citizens & Property
Kaimur,24.908055,83.532339,Bombing,Business
Gadchiroli,20.184871,79.994796,Armed Assault,Private Citizens & Property
Mayurbhanj,22.008698,86.418731,Kidnapping,Business
Jamui,24.919515,86.224718,Kidnapping,Government
Jamui,24.919515,86.224718,Kidnapping,Private Citizens & Property
Bokaro,23.669296,86.151112,Armed Assault,Private Citizens & Property
Lalgarh,27.519994,73.910179,Kidnapping,Government
Mahoba,25.292096,79.872417,Bombing,Transportation
Calicut (kozhikode),11.258753,75.78041,Infrastructure Attack,Private Citizens & Property
Calicut (kozhikode),11.258753,75.78041,Bombing,Police
Puruliya,23.332078,86.365208,Kidnapping,Private Citizens & Property
Imphal,24.817011,93.936844,Bombing,Government
Imphal,24.817011,93.936844,Infrastructure Attack,Business
Aurangabad,19.876165,75.343314,Infrastructure Attack,Business
Vaishali,26.003818,85.081783,Infrastructure Attack,Business
Dantewada,18.896863,81.345442,Armed Assault,Government
Bangalore,12.971599,77.594563,Bombing,Private Citizens & Property
Sonitpor,26.673885,92.85771,Armed Assault,Private Citizens & Property
West Singhbhum,22.365086,85.437557,Bombing,Food or Water Supply
Dantewada,18.896863,81.345442,Infrastructure Attack,Transportation
Visakhapatnam,17.686816,83.218482,Unarmed Assault,Private Citizens & Property
Visakhapatnam,17.686816,83.218482,Infrastructure Attack,Business
Bijapur,16.830171,75.710031,Armed Assault,Government
Lalgarh,27.519994,73.910179,Kidnapping,Government
Garwah,24.154898,83.799562,Kidnapping,Private Citizens & Property
Malkangiri,18.343586,81.882528,Bombing,Telecommunication
Bahraich,27.570838,81.598025,Infrastructure Attack,Government
Anantnag,33.704971,75.247906,Bombing,Educational Institution
Midnapore,22.430889,87.321491,Armed Assault,Private Citizens & Property
Bankura,23.232415,87.078604,Kidnapping,Government
Visakhapatnam,17.686816,83.218482,Infrastructure Attack,Police
Munger,25.374756,86.473525,Bombing,Business
Murshidabad,24.175904,88.280179,Bombing,Transportation
Midnapore,22.430889,87.321491,Kidnapping,Private Citizens & Property
Visakhapatnam,17.686816,83.218482,Infrastructure Attack,Transportation
Koraput,18.813487,82.712333,Bombing,Transportation
Midnapore,22.430889,87.321491,Kidnapping,Government
Midnapore,22.430889,87.321491,Bombing,Transportation
Midnapore,22.430889,87.321491,Bombing,Transportation
Nuapada,20.806018,82.536139,Bombing,Government
Bijapur,16.830171,75.710031,Bombing,Telecommunication
Lalgarh,27.519994,73.910179,Armed Assault,Terrorists/Non-State Militia
Midnapore,22.430889,87.321491,Kidnapping,Terrorists/Non-State Militia
