Sikh Extremists,Patiali,30.339781,76.38688
Sikh Extremists,Patti,31.274586,74.856561
Sikh Extremists,Pehwa,29.981417,76.589277
Sikh Extremists,Phagawara,31.22402,75.770801
Sikh Extremists,Phagwara,31.22402,75.770801
Sikh Extremists,Pundol,18.505828,73.878306
Akali Dal Party,Punjab,31.147131,75.341218
Dishmish Regiment,Punjab,31.147131,75.341218
Saffron Tigers,Punjab,31.147131,75.341218
Scooter Borne terrorists,Punjab,31.147131,75.341218
Sikh Extremists,Punjab,31.147131,75.341218
Terrorists,Punjab,31.147131,75.341218
All India Sikh Students Federation (AISSF),Punjab (Amritsar),31.633979,74.872264
Sikh Extremists,Punjab (at Quadian),31.819064,75.37911
Sikh Extremists,Punjab (Gulami village),31.040338,74.760291
Sikh Extremists,Punjab (Jogiana),31.800654,75.788018
Sikh Extremists,"Punjab (near Batala, 25 miles from Amritsar)",31.633979,74.872264
Sikh Extremists,Punjab (Zerozepur dist),30.680516,74.761229
Khalistan Commando Force,Punjab State,31.385026,75.091167
Khalistan Liberation Force,Punjab State,31.385026,75.091167
Sikh Extremists,Punjab State,31.385026,75.091167
Sikh Extremists,Punjab's Zeroepur district,30.524099,75.756046
Sikh Extremists,Punniyaya,27.261059,80.201454
Sikh Extremists,Rahon,31.052128,76.117499
Tripura National Volunteers (TNV),Raibari,20.196474,86.214579
Sikh Extremists,Rajasthan,27.023804,74.217933
Naxalites,Ramaduggu,18.586525,79.059059
Sikh Extremists,Rampur Village,28.789304,79.024952
Sikh Extremists,Rasalpura,25.759141,84.829421
Sikh Extremists,Rasoolpur,26.929856,81.196968
Sikh Extremists,Rasulpur,26.929856,81.196968
Naxalites,Rijatipet,14.196531,79.156372
Gurkha National Liberation Front (GNLF),Rohini Valley,28.732848,77.114306
Sikh Extremists,Ropar,30.965917,76.523023
Sikh Extremists,Rork,33.748591,-116.222001
Bodo Militants,runikhata,26.63419,90.381898
Bodo Militants,Runikheta,29.643362,79.432182
Sikh Extremists,Rureasal,20.901591,76.353314
Sikh Extremists,Rutian,28.277309,79.271895
Gurkha National Liberation Front (GNLF),Saint Mery Basti,28.568462,77.142671
Bodo Militants,Salakati,26.444008,90.364244
Sikh Extremists,Sangrala,17.834131,78.316169
Sikh Extremists,Sangrur District,30.390144,75.806908
Khalistan Liberation Force,Sansara,22.36874,87.634679
Sikh Extremists,Santu Nangal,31.381038,76.381092
Sikh Extremists,Saral Amanat Khan,31.510838,74.693467
Sikh Extremists,Sarhali Khord,31.378494,74.89772
Sikh Extremists,Sarowal,28.675391,77.278229
Tripura National Volunteers (TNV),Satnala Village,23.997222,92.213829
Sikh Extremists,Satrah Kalan,32.358631,74.565734
Tripura National Volunteers (TNV),Shantipara,21.026554,70.315982
Sikh Extremists,Sharinwala,30.676845,74.473078
Sikh Extremists,Shekhawal,27.627083,75.13828
Jarnail Khalsa,Sherpur,25.569805,83.794681
Tripura National Volunteers (TNV),Shinshin,23.873207,90.385817
Bodo Militants,Sidli,26.531515,90.453185
Gurkha National Liberation Front (GNLF),Singbuli,24.19921,82.664547
Bodo Militants,Singhbitia,31.319851,75.595385
