source,target,CountOfattacktype1_txt
Kanchanchara,Hostage Taking (Kidnapping),1
Kandrori,Bombing/Explosion,2
"Kang Pokpi Constituency, Manipur State",Armed Assault,1
Kangan,Assassination,1
Kangan,Bombing/Explosion,1
Kanjinag Village,Bombing/Explosion,1
Kanmaipatti District,Bombing/Explosion,1
Kanpur,Assassination,1
Kansla,Assassination,1
Karakagudem,Bombing/Explosion,1
Karbi Anglong District,Armed Assault,1
Kargil District,Armed Assault,1
Karimanagar Dist Andhra Predos,Hostage Taking (Kidnapping),1
Karimnagar Distr Andhra Pradesh,Bombing/Explosion,1
Karimnagar District,Armed Assault,1
Karmuwal,Assassination,1
Karnal District,Armed Assault,1
Karnataka State,Bombing/Explosion,1
Kashmir,Bombing/Explosion,1
Kashmir State,Armed Assault,2
Kashmir State,Assassination,4
Kashmir State,Bombing/Explosion,1
Kashmir State,Hostage Taking (Kidnapping),2
Kashmir Valley,Armed Assault,1
"Kathalbari, Assam",Armed Assault,1
Kathalguri,Bombing/Explosion,1
Kathua District,Armed Assault,1
Kenduguri,Bombing/Explosion,1
Kerala,Unarmed Assault,1
Keygam,Assassination,1
Khaberajputan,Assassination,1
"Khadesin V., Jenanabad D.",Armed Assault,1
Khair,Bombing/Explosion,1
Khajala,Armed Assault,1
Khanna area,Assassination,1
Kharacho,Armed Assault,1
Kharad,Armed Assault,1
Kharar,Armed Assault,1
Kharar,Assassination,1
Khilchian Drain,Bombing/Explosion,1
Kila Raipur,Armed Assault,1
Kila Shahpur,Bombing/Explosion,1
Kilariapur,Assassination,1
Kilor,Bombing/Explosion,1
Kishtwar,Assassination,1
Kochi town,Unarmed Assault,1
"Kohima, Nugaland S.",Armed Assault,1
"Kokraghar D., Assam",Armed Assault,20
Kokrajhar,Bombing/Explosion,1
"Kokrajhar D., Assam",Armed Assault,4
"Kokrajhar Dist, Assam State",Bombing/Explosion,1
Kokrajhar District,Armed Assault,2
"Kokrajha-T., Assan",Armed Assault,1
Kolabari,Assassination,1
Konta Town,Bombing/Explosion,1
Konunghamang,Assassination,1
Korodpalli,Bombing/Explosion,1
"Kothkapally, Karimangar Dist, Andhra Pradesh State",Bombing/Explosion,1
Kotkapura,Hostage Taking (Kidnapping),1
Kotlarai,Armed Assault,1
"Kowai, Tripura",Armed Assault,1
Krishnanagar,Armed Assault,1
Kudkapura,Armed Assault,1
Kulgam,Armed Assault,1
"Kulgam, J+K",Bombing/Explosion,1
Kuminkadi,Armed Assault,1
Kunjikulam,Bombing/Explosion,1
Kuppuguda,Armed Assault,1
Kupwara,Armed Assault,4
Kupwara,Assassination,2
Kupwara,Bombing/Explosion,1
Kupwara,Hostage Taking (Kidnapping),1
Kupwara Dist.,Armed Assault,1
Kupwara District,Armed Assault,1
Kupwara District,Assassination,1
Kupwara District,Bombing/Explosion,1
Kupwara District,Hostage Taking (Kidnapping),1
"Kupwara, Kashmir",Bombing/Explosion,1
Kurmol,Armed Assault,1
Kurukshetra,Bombing/Explosion,1
Ladakh,Armed Assault,1
Ladervat J + K,Hostage Taking (Kidnapping),1
Lahowal,Assassination,1
Lailalong,Bombing/Explosion,1
Laipura,Bombing/Explosion,1
Lakhimpur Kheri,Armed Assault,1
Lamphel District,Bombing/Explosion,1
Lapoke,Armed Assault,1
Lapur,Armed Assault,1
Lasana,Armed Assault,1
Laudara,Bombing/Explosion,1
Laxmanpur V.,Bombing/Explosion,1
Lehota,Armed Assault,1
Litran,Assassination,1
Logar Village,Hostage Taking (Kidnapping),1
Lohan Village,Armed Assault,1
Longowal Village,Assassination,1
Loto,Armed Assault,1
Lucknow,Assassination,1
Lucknow,Bombing/Explosion,1
Ludhiana,Armed Assault,7
Ludhiana,Assassination,7
Ludhiana,Bombing/Explosion,9
Ludhiana,Facility/Infrastructure Attack,14
Ludhiana,Hostage Taking (Kidnapping),2
Ludhiana District,Assassination,1
Ludhigna,Armed Assault,1
Machareddy,Bombing/Explosion,1
Machchiwala,Armed Assault,1
Madar,Hostage Taking (Kidnapping),1
Madhya Pradesh State,Bombing/Explosion,1
"Madora, J + K State",Assassination,1
Madras,Armed Assault,2
Madras,Assassination,1
Madras,Bombing/Explosion,7
Madras,Hijacking,1
"Madras, Tamil Nadu State",Bombing/Explosion,1
Madya Pradesh,Facility/Infrastructure Attack,1
Magam,Bombing/Explosion,1
Maghya Pradesh State,Bombing/Explosion,1
Mahur,Armed Assault,1
"Maiamnala, Nagaland",Armed Assault,1
Mainaopuri,Bombing/Explosion,1
Majitha,Armed Assault,1
Majitua District,Armed Assault,1
Majuli islands,Hostage Taking (Kidnapping),1
Makhu,Armed Assault,1
Malasian Bajan,Assassination,1
Malerkotla,Armed Assault,1
Maloke Village,Armed Assault,1
Maman,Armed Assault,1
"Manaing Khol District, Manipur State",Armed Assault,1
Manasbal,Bombing/Explosion,1
Manawala,Assassination,1
Mandai,Armed Assault,1
Mandi,Armed Assault,1
"Mandideep, Madhya Piadesh",Unarmed Assault,1
Mangaldoi,Hostage Taking (Kidnapping),1
Mangapuram District,Bombing/Explosion,1
Manipur S,Assassination,1
Manipur S.,Bombing/Explosion,1
Manipur State,Armed Assault,1
Manipur State,Assassination,2
Manipur State,Bombing/Explosion,1
Mankote,Bombing/Explosion,1
Manoharpur,Armed Assault,1
Mansa,Assassination,1
Manu,Hostage Taking (Kidnapping),2
"Mard Village, Jammu and Kasamir State",Armed Assault,1
Margherita,Hostage Taking (Kidnapping),1
Margooz region,Bombing/Explosion,1
Mathura,Bombing/Explosion,1
Medak District,Hostage Taking (Kidnapping),1
Meerut,Assassination,1
Meerut,Bombing/Explosion,1
Mehnar,Armed Assault,1
Mehsana,Bombing/Explosion,1
Mehtiana,Assassination,1
Methewal,Assassination,1
Mizoram,Bombing/Explosion,1
"Modinagar, Uttar Pradesh",Bombing/Explosion,1
Moga,Assassination,1
Mogha,Armed Assault,1
Mogsangei,Armed Assault,1
Moranhat,Armed Assault,1
Moreh,Hostage Taking (Kidnapping),1
Motipur Village,Armed Assault,1
Mukerian,Bombing/Explosion,1
Mukhivand,Assassination,1
Muktsar,Assassination,1
Mumbai,Bombing/Explosion,2
"Muran Village, Jammu and Kashmir State",Assassination,1
Murshidabad District,Facility/Infrastructure Attack,1
"Muzaffaeque, Bahar State",Armed Assault,1
Muzaffarabad *,Assassination,1
Muzaffarpur,Assassination,1
Nabha,Assassination,1
Nagaland (town not stated),Armed Assault,1
Nagaland State,Armed Assault,1
Nagaland State,Assassination,1
Nagaon District,Assassination,1
Nageland S.,Bombing/Explosion,2
Nagpur,Bombing/Explosion,1
Nagpur,Hostage Taking (Kidnapping),1
Nahajia,Bombing/Explosion,1
Naipura Badgam,Armed Assault,1
